Date,Category,Product,Customer,Region,Sales_Rep,Quantity,Unit_Price,Total_Amount,Returned
2023-12-08,Clothing,Jacket,Joseph Knight,South,Edward Burgess,4,17.75,71.0,0
2023-05-02,Clothing,Jeans,Denise Mccann,South,Tanner Mitchell DDS,3,51.85,155.55,0
2024-01-13,Footwear,Loafers,Jason Powell,South,Maria Parker,3,53.03,159.09,0
2024-02-08,Accessories,Watch,Allen Rosales,West,Tanner Mitchell DDS,4,188.7,754.8,0
2023-04-24,Clothing,Dress,Robert Oconnell,South,Maria Parker,3,187.98,563.94,0
2023-04-25,Clothing,Jeans,Erin Warner,East,Kevin Oconnor,4,149.69,598.76,0
2024-03-18,Clothing,Jacket,Robert Oconnell,West,Kiara Mcintyre,3,176.69,530.07,0
2023-12-14,Accessories,Belt,Dylan Miller,East,Heather Fields,4,43.24,172.96,1
2023-04-02,Accessories,Belt,Carla Gray,West,Heather Fields,4,110.63,442.52,0
2023-06-26,Accessories,Belt,Theresa Clark,North,Dawn Summers,4,193.43,773.72,0
2023-07-17,Accessories,Bag,Elizabeth Kelley,West,Tanner Mitchell DDS,4,130.29,521.16,0
2023-01-01,Accessories,Bag,Jonathan Peterson,North,Edward Burgess,3,143.07,429.21,0
2023-12-07,Footwear,Sandals,Donald Wright,East,Maria Parker,4,178.55,714.2,0
2023-12-08,Footwear,Sandals,Bryan Herrera,South,Maria Parker,4,171.68,686.72,1
2023-04-09,Footwear,Loafers,Aimee Montoya,East,Dawn Summers,4,180.73,722.92,0
2023-07-27,Accessories,Watch,Michelle Brown,South,Maria Parker,3,80.73,242.19,1
2023-08-09,Accessories,Belt,Sara Johnston,West,Carlos Ryan,1,10.96,10.96,0
2023-12-12,Clothing,Sweater,Kevin Walters,North,Megan Le,2,102.27,204.54,0
2023-05-26,Accessories,Belt,Shane Henderson,East,Sara Fuller,1,52.61,52.61,0
2023-04-26,Clothing,Jeans,Lisa Hensley,South,Tanner Mitchell DDS,1,103.84,103.84,0
2023-09-01,Accessories,Watch,Laura Roberts,South,Edward Burgess,4,133.43,533.72,0
2024-01-03,Accessories,Sunglasses,Barbara Dudley,South,Edward Burgess,1,68.53,68.53,0
2023-03-17,Accessories,Watch,Shannon Jones,South,Edward Burgess,3,79.87,239.61,0
2023-04-01,Accessories,Sunglasses,Judy Baker,South,Kiara Mcintyre,2,122.08,244.16,1
2024-03-10,Clothing,Dress,James Brown,East,Carlos Ryan,3,179.49,538.47,0
2024-01-22,Footwear,Loafers,Amanda Jones,South,Carlos Ryan,2,76.51,153.02,0
2024-01-16,Footwear,Loafers,Mary Marshall,East,Sara Fuller,3,103.58,310.74,0
2024-01-28,Accessories,Sunglasses,April Frost,West,Maria Parker,1,104.85,104.85,0
2023-02-09,Accessories,Belt,Larry Dixon,East,Maria Parker,4,132.64,530.56,0
2023-06-13,Accessories,Watch,Jordan Henderson,South,Megan Le,4,99.29,397.16,0
2023-07-16,Accessories,Bag,Sharon Cochran,West,Heather Fields,2,80.33,160.66,0
2023-07-28,Footwear,Loafers,Melissa Martinez,South,Tanner Mitchell DDS,4,72.84,291.36,0
2024-03-02,Footwear,Loafers,Amber Obrien,West,Tanner Mitchell DDS,3,193.09,579.27,0
2023-09-02,Clothing,Jacket,Denise Jones,West,Edward Burgess,3,68.08,204.24,0
2023-10-03,Accessories,Bag,Kimberly Gutierrez,East,Sara Fuller,1,70.22,70.22,0
2023-08-12,Footwear,Sneakers,Nathan Freeman,West,Kevin Oconnor,1,84.99,84.99,0
2024-01-06,Clothing,Dress,Amber Kidd,North,Dawn Summers,3,118.31,354.93,0
2023-07-21,Accessories,Watch,Sherry Decker,South,Edward Burgess,4,137.52,550.08,0
2024-03-19,Footwear,Boots,Judy Baker,West,Maria Parker,3,108.48,325.44,0
2023-06-17,Clothing,Dress,Alyssa Day,West,Kevin Oconnor,1,171.25,171.25,0
2023-05-23,Footwear,Sandals,Fred Smith,North,Carlos Ryan,2,78.3,156.6,0
2024-01-19,Accessories,Watch,Robert Oconnell,North,Sara Fuller,3,89.76,269.28,0
2024-02-04,Accessories,Watch,Brian Ramirez,South,Sara Fuller,4,183.52,734.08,0
2024-03-05,Clothing,Sweater,Steve Sanchez,South,Sara Fuller,1,129.3,129.3,0
2023-08-31,Accessories,Watch,Lisa Allen,West,Sara Fuller,4,143.37,573.48,0
2023-12-25,Footwear,Sandals,Daniel Baker,North,Dawn Summers,4,178.46,713.84,0
2024-02-03,Clothing,Jacket,Michael Lewis,North,Dawn Summers,2,27.86,55.72,0
2023-06-09,Accessories,Sunglasses,Joseph Coleman,North,Sara Fuller,2,72.35,144.7,0
2023-10-31,Accessories,Bag,Crystal Robinson,North,Maria Parker,2,64.44,128.88,0
2024-02-12,Accessories,Watch,Michael Wang,West,Kiara Mcintyre,2,57.55,115.1,0
2023-12-05,Footwear,Sneakers,Mrs. Kristen Reyes,North,Kevin Oconnor,3,78.44,235.32,0
2024-03-10,Footwear,Loafers,Shannon Jones,East,Edward Burgess,1,167.3,167.3,0
2023-11-22,Footwear,Boots,Elizabeth Oliver DDS,East,Megan Le,4,128.35,513.4,0
2023-11-12,Accessories,Sunglasses,Sara Johnston,East,Edward Burgess,1,46.93,46.93,0
2023-06-15,Clothing,T-shirt,Patricia Rodriguez,South,Carlos Ryan,3,131.11,393.33,0
2024-01-20,Footwear,Loafers,Joshua Cooke,West,Tanner Mitchell DDS,1,194.21,194.21,0
2024-03-11,Footwear,Boots,Kimberly Gutierrez,East,Sara Fuller,3,161.09,483.27,0
2024-02-13,Footwear,Sandals,Christopher Rubio,East,Dawn Summers,4,151.37,605.48,0
2023-10-12,Clothing,Sweater,Deborah Figueroa,South,Heather Fields,2,192.9,385.8,0
2024-01-04,Footwear,Loafers,Stephanie Williams,West,Sara Fuller,1,140.81,140.81,0
2023-11-27,Accessories,Sunglasses,Lori Guerrero,North,Tanner Mitchell DDS,2,39.72,79.44,0
2023-05-31,Clothing,Dress,Helen Jones,East,Maria Parker,2,27.84,55.68,0
2023-08-31,Accessories,Belt,Mark Brown,East,Kiara Mcintyre,1,63.19,63.19,1
2023-06-30,Accessories,Sunglasses,David Alvarez,East,Maria Parker,3,134.85,404.55,0
2023-04-29,Clothing,Jeans,Jennifer Adkins,South,Heather Fields,1,89.72,89.72,0
2023-04-09,Clothing,Dress,David Douglas Jr.,East,Dawn Summers,4,40.14,160.56,0
2023-02-21,Clothing,Jacket,William Herrera,South,Kevin Oconnor,1,32.05,32.05,0
2023-06-04,Clothing,Sweater,Jessica Callahan,North,Maria Parker,1,69.17,69.17,1
2023-01-28,Accessories,Belt,Jessica Callahan,North,Carlos Ryan,1,100.09,100.09,0
2024-03-22,Clothing,Sweater,Joyce Solis,West,Carlos Ryan,4,163.31,653.24,0
2023-08-14,Footwear,Boots,Justin Baker,West,Maria Parker,2,92.43,184.86,0
2023-02-28,Clothing,Dress,Olivia Harris,North,Heather Fields,2,190.34,380.68,0
2023-03-19,Clothing,Sweater,Michelle Brown,South,Heather Fields,4,81.18,324.72,0
2023-03-02,Accessories,Sunglasses,Diana May,West,Kiara Mcintyre,2,105.2,210.4,0
2023-08-19,Footwear,Sandals,Bailey Duran DDS,North,Maria Parker,1,40.96,40.96,0
2023-11-09,Accessories,Watch,Sharon Cherry,East,Sara Fuller,3,189.41,568.23,0
2023-12-05,Clothing,Jeans,April Frost,North,Megan Le,4,188.64,754.56,0
2023-03-22,Clothing,Dress,Jessica Stephens,West,Dawn Summers,2,118.94,237.88,0
2023-05-30,Clothing,Jeans,Stephanie Salazar,West,Maria Parker,1,113.67,113.67,1
2023-02-06,Accessories,Bag,Jose Schultz,South,Dawn Summers,3,165.88,497.64,0
2023-08-06,Clothing,Sweater,Diana May,East,Megan Le,3,47.2,141.6,0
2024-02-28,Clothing,T-shirt,Rebecca Henderson,East,Megan Le,3,81.68,245.04,0
2023-11-01,Accessories,Belt,Matthew Moore,West,Heather Fields,2,139.77,279.54,0
2023-12-19,Footwear,Loafers,Angel Perry,West,Kiara Mcintyre,4,83.23,332.92,0
2023-08-13,Clothing,Sweater,Margaret Hawkins DDS,East,Edward Burgess,2,164.75,329.5,0
2023-11-06,Footwear,Sneakers,John Pierce,North,Sara Fuller,4,141.65,566.6,0
2024-01-27,Accessories,Belt,John Young,South,Tanner Mitchell DDS,3,176.72,530.16,0
2023-08-29,Accessories,Sunglasses,Patricia Rodriguez,West,Megan Le,1,193.84,193.84,0
2023-11-22,Footwear,Sneakers,Andrew Avila,West,Kevin Oconnor,1,152.62,152.62,0
2023-06-20,Footwear,Sneakers,Michael Evans,West,Kevin Oconnor,1,149.01,149.01,0
2023-12-22,Footwear,Sandals,David Martinez,North,Kiara Mcintyre,1,157.52,157.52,0
2023-08-21,Clothing,Jacket,Megan Orr,North,Kevin Oconnor,2,116.75,233.5,0
2024-01-31,Footwear,Sneakers,Marie Christian,West,Carlos Ryan,3,152.67,458.01,0
2023-01-28,Clothing,Sweater,Dr. Hannah Patterson,West,Dawn Summers,1,81.77,81.77,0
2023-11-17,Footwear,Sneakers,Richard Henson,South,Maria Parker,4,167.03,668.12,0
2023-05-28,Footwear,Loafers,Connor West,South,Tanner Mitchell DDS,3,29.0,87.0,0
2023-12-30,Clothing,Jacket,Jessica Garcia,West,Tanner Mitchell DDS,1,182.02,182.02,0
2023-02-17,Clothing,T-shirt,Andrew Reynolds,South,Heather Fields,3,191.79,575.37,0
2023-09-13,Accessories,Belt,Katie Suarez,West,Maria Parker,4,118.95,475.8,0
2024-03-03,Footwear,Loafers,Helen Jones,South,Carlos Ryan,1,27.42,27.42,0
2023-07-16,Clothing,Sweater,Katie Suarez,North,Megan Le,4,137.78,551.12,0
2023-05-22,Footwear,Sandals,Mrs. Kristen Reyes,North,Maria Parker,3,158.45,475.35,0
2023-05-25,Accessories,Belt,Laura Haney,South,Carlos Ryan,1,103.94,103.94,0
2023-08-17,Accessories,Sunglasses,Michael Elliott,West,Kevin Oconnor,3,20.62,61.86,0
2023-08-22,Footwear,Boots,April Frost,West,Dawn Summers,1,76.67,76.67,0
2023-04-30,Footwear,Sneakers,Lindsey Walker,West,Carlos Ryan,4,140.73,562.92,0
2023-07-17,Accessories,Bag,Barbara Dudley,South,Tanner Mitchell DDS,1,29.21,29.21,0
2023-09-15,Accessories,Belt,Danny Morgan,North,Carlos Ryan,1,52.29,52.29,0
2023-09-27,Footwear,Sneakers,Lauren Daniels,South,Edward Burgess,3,144.19,432.57,0
2023-02-08,Footwear,Sandals,Matthew Harrington,West,Dawn Summers,1,54.31,54.31,0
2023-11-29,Clothing,Jacket,Shelly Alexander,East,Edward Burgess,1,80.42,80.42,0
2023-11-17,Accessories,Sunglasses,Marie Christian,North,Tanner Mitchell DDS,3,182.46,547.38,0
2023-05-01,Accessories,Belt,William Herrera,West,Heather Fields,4,81.49,325.96,0
2023-02-20,Accessories,Watch,Michael Warner,East,Megan Le,1,81.82,81.82,0
2023-01-15,Clothing,Jacket,Zachary Hicks,East,Maria Parker,2,182.21,364.42,0
2023-07-11,Footwear,Boots,Erin Edwards,West,Kiara Mcintyre,3,58.2,174.6,0
2023-10-17,Accessories,Bag,Christopher Bass,North,Megan Le,2,20.7,41.4,0
2023-11-09,Footwear,Boots,Cynthia Moore,South,Dawn Summers,1,166.33,166.33,0
2023-04-29,Footwear,Sandals,Kathryn Snyder,North,Maria Parker,3,120.84,362.52,1
2024-02-16,Footwear,Sandals,Nathan Malone,North,Megan Le,3,100.77,302.31,0
2023-08-15,Footwear,Sandals,Mark Brown,West,Maria Parker,1,52.48,52.48,1
2024-03-08,Footwear,Boots,Daniel Salinas,North,Carlos Ryan,4,195.8,783.2,0
2023-05-02,Footwear,Sandals,Ryan Gonzalez,East,Maria Parker,3,179.32,537.96,0
2023-01-12,Accessories,Sunglasses,Cheyenne Horton,North,Tanner Mitchell DDS,3,184.63,553.89,0
2023-11-07,Accessories,Sunglasses,Victoria Larson,East,Sara Fuller,3,194.17,582.51,0
2023-04-23,Accessories,Bag,Cameron Fisher,North,Megan Le,1,51.19,51.19,0
2023-11-18,Accessories,Watch,Melissa Gates,North,Carlos Ryan,1,129.24,129.24,0
2023-10-24,Footwear,Boots,John Pierce,East,Maria Parker,4,150.05,600.2,1
2024-01-18,Footwear,Boots,Rebecca Valencia,East,Megan Le,2,190.58,381.16,0
2023-09-29,Accessories,Belt,Zachary Ferrell,West,Maria Parker,4,30.28,121.12,0
2024-02-17,Footwear,Sandals,Brent Jordan,North,Carlos Ryan,2,45.74,91.48,0
2023-03-14,Clothing,Dress,Elaine Brooks,North,Kevin Oconnor,2,53.59,107.18,0
2024-02-09,Footwear,Sneakers,Jose Schultz,North,Kiara Mcintyre,1,195.14,195.14,1
2023-08-21,Footwear,Sandals,Amber Obrien,East,Edward Burgess,2,16.14,32.28,0
2023-02-25,Accessories,Bag,Matthew Moon,East,Tanner Mitchell DDS,1,164.62,164.62,0
2023-11-09,Clothing,T-shirt,David Davis,West,Maria Parker,1,35.31,35.31,0
2023-03-01,Clothing,T-shirt,Carla Gray,West,Maria Parker,2,190.46,380.92,0
2023-03-01,Clothing,Jeans,Matthew Moore,West,Megan Le,3,184.64,553.92,0
2023-08-21,Footwear,Loafers,Lisa Barnes,North,Edward Burgess,2,174.55,349.1,0
2024-03-02,Footwear,Loafers,Christopher Rubio,East,Tanner Mitchell DDS,3,88.14,264.42,0
2023-04-22,Footwear,Loafers,Larry Dixon,North,Kevin Oconnor,2,197.58,395.16,0
2023-12-18,Footwear,Sandals,James Ferrell,East,Edward Burgess,1,152.42,152.42,0
2023-04-08,Clothing,Dress,John Pierce,North,Sara Fuller,3,170.0,510.0,0
2023-01-26,Footwear,Boots,Jessica Callahan,South,Dawn Summers,2,17.0,34.0,0
2023-02-05,Accessories,Bag,Richard Rodriguez,East,Sara Fuller,1,20.71,20.71,0
2024-02-01,Clothing,Sweater,Noah Rhodes,South,Maria Parker,1,111.53,111.53,0
2023-03-08,Accessories,Belt,Aimee Montoya,North,Heather Fields,3,115.53,346.59,0
2023-03-09,Clothing,Jacket,Kenneth Scott,East,Dawn Summers,1,153.85,153.85,0
2023-01-09,Clothing,Jacket,Justin Baker,West,Megan Le,1,95.6,95.6,0
2023-09-27,Clothing,T-shirt,Brandon Bailey MD,East,Carlos Ryan,3,62.2,186.6,0
2023-09-20,Accessories,Watch,Susan Serrano,South,Kiara Mcintyre,1,137.62,137.62,0
2023-11-11,Clothing,Sweater,Brenda Hall,North,Carlos Ryan,4,61.05,244.2,0
2023-02-01,Footwear,Loafers,Justin Torres,West,Heather Fields,2,108.86,217.72,0
2023-12-31,Footwear,Sneakers,Fred Smith,South,Kevin Oconnor,3,68.48,205.44,0
2023-02-03,Clothing,Jacket,Amber Obrien,East,Kiara Mcintyre,4,116.58,466.32,0
2023-07-15,Accessories,Belt,Christopher Parker,West,Kiara Mcintyre,1,122.09,122.09,0
2023-02-20,Accessories,Watch,Jessica Garcia,West,Sara Fuller,3,153.48,460.44,0
2023-08-20,Clothing,Dress,Matthew Harrington,West,Carlos Ryan,2,162.96,325.92,1
2023-08-01,Accessories,Watch,Paul Castaneda,East,Edward Burgess,4,12.76,51.04,0
2023-12-07,Footwear,Sandals,Steve Sanchez,North,Carlos Ryan,2,130.96,261.92,0
2023-02-16,Clothing,T-shirt,Jeremy Dalton,East,Heather Fields,3,181.79,545.37,0
2024-02-20,Clothing,Sweater,Rebecca Henderson,East,Dawn Summers,2,95.67,191.34,1
2023-12-10,Clothing,Dress,Tina Sanders,North,Edward Burgess,2,128.2,256.4,0
2023-05-28,Accessories,Belt,Alexander Collins,South,Heather Fields,1,161.33,161.33,0
2023-03-21,Accessories,Sunglasses,Garrett Lin,East,Heather Fields,1,103.5,103.5,0
2024-03-08,Accessories,Belt,Brent Jordan,South,Maria Parker,4,18.71,74.84,0
2024-02-18,Footwear,Sneakers,Robert Potter,South,Tanner Mitchell DDS,2,72.46,144.92,0
2023-05-20,Accessories,Belt,Matthew Harrington,North,Kevin Oconnor,4,74.9,299.6,0
2023-04-03,Clothing,Sweater,David Martinez,South,Heather Fields,3,34.33,102.99,0
2024-01-15,Accessories,Watch,John Pierce,South,Kiara Mcintyre,2,142.56,285.12,0
2023-07-12,Footwear,Loafers,Nicole Herring,East,Megan Le,4,75.68,302.72,0
2023-06-09,Accessories,Belt,David Smith,North,Dawn Summers,3,107.89,323.67,1
2024-03-28,Clothing,Jeans,Kelly Donovan,North,Dawn Summers,1,46.53,46.53,0
2023-12-12,Clothing,Jacket,Kirk Carter,West,Edward Burgess,1,75.57,75.57,0
2023-11-07,Footwear,Loafers,Angel Perry,North,Sara Fuller,2,26.85,53.7,0
2023-06-26,Footwear,Sneakers,Joyce Solis,West,Dawn Summers,1,77.64,77.64,0
2023-09-27,Accessories,Belt,Tommy Walter,West,Sara Fuller,1,105.65,105.65,0
2023-11-03,Clothing,T-shirt,Richard Henson,South,Maria Parker,1,27.54,27.54,0
2024-01-28,Clothing,Jacket,Kathy Rivas,North,Kevin Oconnor,2,25.53,51.06,0
2023-01-04,Footwear,Loafers,Aimee Montoya,West,Megan Le,3,81.68,245.04,0
2023-09-30,Accessories,Bag,Susan Murray MD,East,Kiara Mcintyre,4,163.18,652.72,0
2023-02-06,Footwear,Sneakers,Theresa Clark,West,Tanner Mitchell DDS,1,197.39,197.39,0
2023-02-09,Footwear,Loafers,Margaret Coleman,West,Edward Burgess,4,102.06,408.24,0
2023-05-29,Clothing,Dress,Monica Herrera,South,Kevin Oconnor,3,110.94,332.82,0
2024-02-15,Accessories,Sunglasses,Dr. Hannah Patterson,West,Heather Fields,2,16.97,33.94,0
2024-03-08,Clothing,Jeans,Theresa Clark,West,Dawn Summers,3,140.56,421.68,0
2023-09-26,Clothing,Dress,Melissa Gates,South,Kevin Oconnor,3,111.1,333.3,0
2023-06-20,Clothing,T-shirt,Desiree Tyler,South,Heather Fields,2,77.29,154.58,0
2024-02-02,Footwear,Sandals,Sarah Moore,North,Sara Fuller,4,61.16,244.64,0
2023-03-16,Footwear,Boots,Lisa Archer,South,Dawn Summers,2,117.15,234.3,0
2024-01-25,Accessories,Watch,Matthew Mcmillan,West,Carlos Ryan,2,72.22,144.44,0
2024-01-22,Accessories,Sunglasses,Briana Murray,East,Dawn Summers,1,75.16,75.16,0
2024-03-18,Accessories,Belt,Megan Young,North,Carlos Ryan,2,159.94,319.88,0
2023-08-29,Footwear,Sandals,Cheyenne Horton,North,Dawn Summers,3,121.0,363.0,0
2023-06-30,Accessories,Watch,Melissa Gates,West,Carlos Ryan,3,151.63,454.89,0
2023-01-20,Clothing,Jacket,Victoria Larson,North,Heather Fields,3,81.97,245.91,0
2023-11-11,Accessories,Sunglasses,Andrew Reynolds,North,Dawn Summers,4,132.72,530.88,0
2023-08-19,Accessories,Bag,Michael Powell,West,Dawn Summers,4,104.67,418.68,0
2023-09-14,Clothing,T-shirt,Jessica Stephens,East,Heather Fields,1,55.07,55.07,0
2024-01-01,Clothing,Sweater,Lisa Archer,South,Tanner Mitchell DDS,2,79.42,158.84,0
2023-12-29,Footwear,Loafers,Cynthia Rowe,South,Kiara Mcintyre,2,45.45,90.9,0
2023-07-06,Footwear,Sandals,Adam Vaughan,East,Edward Burgess,3,20.57,61.71,0
2023-12-14,Accessories,Watch,Darlene Miller,East,Heather Fields,3,109.66,328.98,0
2023-02-18,Accessories,Sunglasses,Joyce Solis,South,Maria Parker,4,199.48,797.92,0
2023-06-20,Clothing,Sweater,Brittney Phillips,East,Kevin Oconnor,4,194.2,776.8,0
2023-12-02,Accessories,Sunglasses,Tracy House,North,Dawn Summers,2,195.26,390.52,0
2023-06-08,Accessories,Sunglasses,Joel Williams,North,Megan Le,2,137.04,274.08,1
2023-11-27,Accessories,Sunglasses,Katie Suarez,North,Kevin Oconnor,3,111.66,334.98,0
2023-07-05,Footwear,Boots,Sharon Cochran,West,Kevin Oconnor,1,156.2,156.2,0
2023-04-09,Clothing,Jeans,Lisa Barnes,East,Heather Fields,2,145.08,290.16,0
2024-03-08,Clothing,Sweater,Wayne Morgan,North,Kiara Mcintyre,4,56.06,224.24,0
2023-12-05,Footwear,Boots,Debra Christian,South,Megan Le,2,155.88,311.76,0
2023-04-03,Accessories,Bag,Matthew Moore,West,Tanner Mitchell DDS,2,39.33,78.66,0
2023-07-06,Accessories,Bag,Michael Warner,East,Dawn Summers,3,122.84,368.52,0
2024-01-21,Accessories,Sunglasses,Jeffrey Chandler,South,Kiara Mcintyre,4,35.54,142.16,0
2023-06-08,Footwear,Boots,Madison Poole,West,Dawn Summers,4,48.33,193.32,0
2023-08-25,Footwear,Loafers,Kathleen Moran,West,Kiara Mcintyre,4,58.38,233.52,0
2023-03-24,Clothing,Sweater,Jordan Henderson,North,Maria Parker,1,32.17,32.17,0
2023-11-25,Footwear,Sandals,Shelia Wallace,North,Heather Fields,2,88.25,176.5,0
2023-05-26,Clothing,Jeans,Angel Perry,South,Carlos Ryan,1,171.64,171.64,0
2024-03-01,Footwear,Sneakers,Crystal Johnson,East,Carlos Ryan,2,33.62,67.24,0
2023-01-14,Footwear,Sneakers,Elizabeth Perkins,East,Kiara Mcintyre,1,48.95,48.95,0
2023-05-01,Footwear,Sneakers,Karen Graham,North,Sara Fuller,1,150.81,150.81,0
